"PVWatts Hourly PV Performance Data"
"Requested Location","Athens"
"Location","Lat, Lng: 37.97, 23.74"
"Latitude (DD)","37.97"
"Longitude (DD)","23.74"
"Elevation (m)","140"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","16","2","0","0","6.8","2.7","0.2","0","6.8","0","0"
"3","16","3","0","0","6.7","2.6","0.2","0","6.7","0","0"
"3","16","4","0","0","6.8","2.7","0.2","0","6.8","0","0"
"3","16","5","0","0","7","2.7","0.2","0","7","0","0"
"3","16","6","0","0","7.7","2.8","0.2","0","7.7","0","0"
"3","16","7","312","45","9.8","3.3","0.2","120.501","12.036","363.854","335.107"
"3","16","8","653","80","11.9","4.1","0.2","388.729","18.558","1364.718","1300.506"
"3","16","9","801","98","13","4","0.2","638.087","24.103","2219.001","2124.518"
"3","16","10","878","109","13.9","3.5","0.2","838.98","29.595","2830.655","2714.499"
"3","16","11","128","439","14.5","3","0.2","568.673","25.963","1902.245","1818.987"
"3","16","12","114","443","15","2.5","0.2","563.984","27.405","1871.828","1789.647"
"3","16","13","127","447","15.1","2.3","0.2","577.526","28.294","1913.967","1830.293"
"3","16","14","213","419","15.1","2.1","0.2","615.509","29.749","2044.09","1955.806"
"3","16","15","855","106","14.8","1.9","0.2","701.363","32.291","2361.138","2261.619"
"3","16","16","767","90","14.1","1.8","0.2","472.599","26.142","1628.136","1554.59"
"3","16","17","561","70","12.6","1.7","0.2","218.328","18.088","673.357","633.643"
"3","16","18","138","21","10.6","2","0.2","22.075","11.041","42.124","24.777"
"3","16","19","0","0","9.8","2.1","0.2","0","9.8","0","0"
