"PVWatts Hourly PV Performance Data"
"Requested Location","Yaoundé"
"Location","Lat, Lng: 3.85, 11.54"
"Latitude (DD)","3.85"
"Longitude (DD)","11.54"
"Elevation (m)","720"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","6","20","0","0","24.3","0.3","0.2","0","24.3","0","0"
"1","6","21","0","0","23.9","0.2","0.2","0","23.9","0","0"
"1","6","22","0","0","23","0.4","0.2","0","23","0","0"
"1","6","23","0","0","21.9","0.5","0.2","0","21.9","0","0"
"1","7","0","0","0","21","0.5","0.2","0","21","0","0"
"1","7","1","0","0","20.4","0.5","0.2","0","20.4","0","0"
"1","7","2","0","0","20","0.4","0.2","0","20","0","0"
"1","7","3","0","0","19.8","0.4","0.2","0","19.8","0","0"
"1","7","4","0","0","19.6","0.4","0.2","0","19.6","0","0"
"1","7","5","0","0","19.4","0.3","0.2","0","19.4","0","0"
"1","7","6","0","0","19.7","0.4","0.2","0","0","0","0"
"1","7","7","91","82","21.1","0.6","0.2","118.903","25.133","386.543","356.992"
"1","7","8","303","191","23.1","0.5","0.2","378.489","36.357","1236.545","1176.875"
"1","7","9","458","254","25.1","0.6","0.2","622.348","46.217","1945.256","1860.473"
"1","7","10","382","378","26.6","0.7","0.2","735.73","50.801","2231.638","2136.708"
"1","7","11","458","396","27.6","0.8","0.2","866.685","55.321","2568.965","2462.082"
"1","7","12","504","390","28.4","0.7","0.2","916.69","58.523","2677.683","2566.948"
"1","7","13","538","355","28.8","0.7","0.2","892.694","58.159","2620.103","2511.408"
"1","7","14","266","467","28.7","0.6","0.2","705.881","52.565","2121.927","2030.884"
"1","7","15","187","393","28.2","0.5","0.2","537.445","46.943","1664.632","1589.794"
"1","7","16","49","254","27.4","0.4","0.2","287.587","37.761","922.45","873.91"
"1","7","17","148","105","26.2","0.4","0.2","161.647","31.968","502.307","468.654"
"1","7","18","0","0","24.9","0.5","0.2","0","24.9","0","0"
"1","7","19","0","0","24.2","0.5","0.2","0","24.2","0","0"
"1","7","20","0","0","23.5","0.5","0.2","0","23.5","0","0"
"1","7","21","0","0","23","0.5","0.2","0","23","0","0"
"1","7","22","0","0","22.3","0.5","0.2","0","22.3","0","0"
"1","7","23","0","0","21.4","0.6","0.2","0","21.4","0","0"
"1","8","0","0","0","20.7","0.6","0.2","0","20.7","0","0"
"1","8","1","0","0","20.5","0.5","0.2","0","20.5","0","0"
"1","8","2","0","0","20.3","0.5","0.2","0","20.3","0","0"
"1","8","3","0","0","20.2","0.5","0.2","0","20.2","0","0"
"1","8","4","0","0","20.1","0.5","0.2","0","20.1","0","0"
"1","8","5","0","0","20.1","0.5","0.2","0","20.1","0","0"
"1","8","6","0","0","20.4","0.5","0.2","0","0","0","0"
"1","8","7","236","74","21.5","0.8","0.2","168.225","26.889","545.293","510.117"
"1","8","8","498","139","22.7","0.9","0.2","444.082","36.654","1461.426","1393.787"
"1","8","9","647","175","24","0.9","0.2","688.531","45.562","2168.157","2075.477"
"1","8","10","372","377","25.1","0.7","0.2","725.348","48.958","2216.884","2122.477"
"1","8","11","751","223","25.9","0.6","0.2","980.336","59.083","2871.947","2754.328"
"1","8","12","195","566","26.5","0.4","0.2","772.912","54.117","2285.155","2188.329"
"1","8","13","648","291","26.8","0.5","0.2","934.685","59.347","2733.781","2621.058"
"1","8","14","596","279","26.8","0.6","0.2","811.55","54.3","2441.116","2338.763"
"1","8","15","507","250","26.4","0.6","0.2","627.841","47.728","1958.546","1873.293"
"1","8","16","369","196","25.6","0.6","0.2","399.482","39.217","1298.612","1236.742"
"1","8","17","160","103","24.3","0.4","0.2","162.549","30.098","508.618","474.742"
"1","8","18","0","0","22.9","0.4","0.2","0","22.9","0","0"
"1","8","19","0","0","22.3","0.4","0.2","0","22.3","0","0"
"1","8","20","0","0","21.8","0.4","0.2","0","21.8","0","0"
"1","8","21","0","0","21.2","0.5","0.2","0","21.2","0","0"
"1","8","22","0","0","20.8","0.5","0.2","0","20.8","0","0"
"1","8","23","0","0","20.3","0.6","0.2","0","20.3","0","0"
"1","9","0","0","0","19.7","0.6","0.2","0","19.7","0","0"
"1","9","1","0","0","19.1","0.5","0.2","0","19.1","0","0"
"1","9","2","0","0","18.7","0.5","0.2","0","18.7","0","0"
"1","9","3","0","0","18.4","0.4","0.2","0","18.4","0","0"
"1","9","4","0","0","18.2","0.4","0.2","0","18.2","0","0"
"1","9","5","0","0","18.1","0.4","0.2","0","18.1","0","0"
"1","9","6","0","0","18.4","0.4","0.2","0","0","0","0"
"1","9","7","135","83","19.8","0.5","0.2","135.954","24.541","443.663","412.088"
"1","9","8","405","171","22","0.6","0.2","422.197","36.381","1386.075","1321.107"
"1","9","9","591","206","24.8","0.8","0.2","673.384","46.444","2109.883","2019.268"
"1","9","10","824","159","26.9","1","0.2","914.433","54.759","2748.843","2635.587"
"1","9","11","872","162","28.3","1.2","0.2","1030.911","58.156","3035.519","2912.105"
"1","9","12","891","163","29","1.3","0.2","1069.448","59.233","3128.678","3001.963"
"1","9","13","862","175","29.3","1.3","0.2","1018.657","58.11","3002.552","2880.305"
"1","9","14","838","162","29.1","1.2","0.2","900.355","55.22","2707.125","2595.346"
"1","9","15","783","143","28.6","1","0.2","718.857","50.572","2228.73","2133.903"
"1","9","16","676","116","27.6","0.8","0.2","484.333","43.254","1564.46","1493.171"
"1","9","17","452","75","25.7","0.6","0.2","224.043","33.178","679.81","639.867"
